# Division I Women's Basketball: 2010-11 Season
# School (Conference)	Wins	Losses
UConn (AAC)	36	2
Green Bay (Horizon)	34	2
Baylor (Big 12)	34	3
Tennessee (Southeastern)	34	3
Stanford (Pac-12)	33	3
Marist (Metro Atlantic)	31	3
Xavier (Atlantic 10)	29	3
Duke (Atlantic Coast)	32	4
Texas A&M (Big 12)	33	5
Gonzaga (West Coast)	31	5
Bowling Green (Mid-American)	28	5
Miami (FL) (Atlantic Coast)	28	5
UCLA (Pac-12)	28	5
Princeton (Ivy League)	24	5
Michigan St. (Big Ten)	27	6
UNI (Missouri Valley)	27	6
Houston (Conference USA)	26	6
DePaul (AAC)	29	7
Notre Dame (AAC)	31	8
McNeese St. (Southland)	26	7
Toledo (Mid-American)	29	8
Appalachian St. (Southern)	25	7
Hampton (Mid-Eastern)	25	7
James Madison (Colonial)	26	8
Fresno St. (Western Athletic)	25	8
Lamar (Southland)	25	8
Samford (Southern)	25	8
North Carolina (Atlantic Coast)	28	9
Maryland (Atlantic Coast)	24	8
Florida St. (Atlantic Coast)	24	8
Louisiana Tech (Western Athletic)	24	8
Little Rock (Sun Belt)	23	8
Tennessee Tech (OVC)	23	8
Middle Tenn. (Sun Belt)	23	8
Kentucky (Southeastern)	25	9
BYU (Mountain West)	25	9
Charlotte (Atlantic 10)	27	10
Duquesne (Atlantic 10)	24	9
Marquette (AAC)	24	9
Wyoming (Mountain West)	24	9
UNCW (Colonial)	24	9
Temple (Atlantic 10)	24	9
UC Davis (Big West)	24	9
Syracuse (AAC)	25	10
Penn St. (Big Ten)	25	10
American (Patriot)	22	9
Iowa (Big Ten)	22	9
West Virginia (AAC)	24	10
Manhattan (Metro Atlantic)	24	10
Ohio St. (Big Ten)	24	10
Chicago St. (Great West)	24	10
Monmouth (Northeast)	23	10
Georgetown (AAC)	24	11
Missouri St. (Missouri Valley)	24	11
Illinois St. (Missouri Valley)	24	11
Georgia Tech (Atlantic Coast)	24	11
Morehead St. (OVC)	21	10
Gardner-Webb (Big South)	23	11
Tulane (Conference USA)	23	11
Georgia (Southeastern)	23	11
Oral Roberts (Summit League)	23	11
UCF (Conference USA)	22	11
Iowa St. (Big 12)	22	11
Liberty (Big South)	22	11
Texas Tech (Big 12)	22	11
Nevada (Western Athletic)	22	11
St. John's (NY) (AAC)	22	11
TCU (Mountain West)	22	11
Kent St. (Mid-American)	20	10
Oklahoma (Big 12)	23	12
UT Martin (OVC)	21	11
Kansas St. (Big 12)	21	11
Lehigh (Patriot)	21	11
Eastern Mich. (Mid-American)	24	13
Southern California (Pac-12)	24	13
CSU Bakersfield (Independent)	22	12
Saint Francis (PA) (Northeast)	22	12
Arkansas (Southeastern)	22	12
Central Mich. (Mid-American)	20	11
IPFW (Summit League)	20	11
Old Dominion (Colonial)	20	11
Arizona St. (Pac-12)	20	11
Harvard (Ivy League)	18	10
St. Bonaventure (Atlantic 10)	21	12
Arizona (Pac-12)	21	12
Cleveland St. (Horizon)	21	12
Dayton (Atlantic 10)	21	12
Central Ark. (Southland)	21	12
Prairie View (Southwestern)	21	12
Purdue (Big Ten)	21	12
Central Conn. St. (Northeast)	19	11
LIU Brooklyn (Northeast)	19	11
Louisville (AAC)	22	13
Oakland (Summit League)	20	12
Portland St. (Big Sky)	20	12
Vanderbilt (Southeastern)	20	12
Southern U. (Southwestern)	20	12
Navy (Patriot)	20	12
UMBC (America East)	20	12
Saint Joseph's (Atlantic 10)	20	12
Memphis (Conference USA)	21	13
Loyola Maryland (Metro Atlantic)	21	13
Kansas (Big 12)	21	13
ETSU (ASUN)	19	12
VCU (Colonial)	19	12
Denver (Sun Belt)	19	12
